Employee_ID,Employee_Name,Department,Tasks_Completed,Task_Completion_Time,Hours_Worked,Productivity_Score,Date,Performance_Rating
E1000,John Doe,IT,50,4.42,30,89.55,01-01-2023,Good
E1001,David Wilson,Finance,29,1.54,49,92.96,02-01-2023,Excellent
E1002,Olivia Thomas,IT,50,4.33,47,77.51,03-01-2023,Good
E1003,Sarah Lee,Sales,45,1.2,37,79.97,04-01-2023,Good
E1004,Jane Smith,Marketing,23,4.14,44,90.98,05-01-2023,Excellent
E1005,David Wilson,Marketing,47,3.17,50,94.38,06-01-2023,Excellent
E1006,James Anderson,Sales,13,0.63,37,99.85,07-01-2023,Excellent
E1007,Emily Davis,Finance,33,3.6,43,67.43,08-01-2023,Average
E1008,Emily Davis,HR,38,0.54,48,63.99,09-01-2023,Average
E1009,David Wilson,Sales,20,3.17,36,77.37,10-01-2023,Good
E1010,James Anderson,Marketing,47,0.54,45,70.37,11-01-2023,Average
E1011,Sophia Martinez,Sales,10,1.64,42,60.84,12-01-2023,Average
E1012,David Wilson,Finance,26,2.38,50,99.9,13-01-2023,Excellent
E1013,Michael Johnson,Sales,45,2.55,46,91.94,14-01-2023,Excellent
E1014,Jane Smith,HR,37,4.94,45,65.97,15-01-2023,Average
E1015,Sarah Lee,Finance,33,4.98,45,78.04,16-01-2023,Good
E1016,James Anderson,HR,22,0.79,41,98.12,17-01-2023,Excellent
E1017,Jane Smith,Sales,32,2.37,31,94.22,18-01-2023,Excellent
E1018,Robert Brown,Marketing,10,2.78,42,64.75,19-01-2023,Average
E1019,Robert Brown,Finance,46,3.61,41,60.91,20-01-2023,Average
E1020,Michael Johnson,Sales,40,4.94,50,66.14,21-01-2023,Average
E1021,Robert Brown,Sales,10,2.69,34,76.14,22-01-2023,Good
E1022,Robert Brown,HR,46,2.26,31,85.51,23-01-2023,Good
E1023,Emily Davis,Marketing,26,4.52,32,68.2,24-01-2023,Average
E1024,Sarah Lee,Sales,10,1.04,37,94.85,25-01-2023,Excellent
E1025,Michael Johnson,HR,24,4.79,46,81.21,26-01-2023,Good
E1026,Michael Johnson,Finance,49,4.74,43,68.9,27-01-2023,Average
E1027,John Doe,HR,32,4.94,41,76.48,28-01-2023,Good
E1028,James Anderson,HR,25,4.99,33,62.71,29-01-2023,Average
E1029,David Wilson,Sales,12,0.65,45,66.68,30-01-2023,Average
E1030,Robert Brown,IT,47,1.45,39,61.29,31-01-2023,Average
E1031,David Wilson,HR,27,4.55,34,94.68,01-02-2023,Excellent
E1032,Emily Davis,IT,47,3.86,45,75.58,02-02-2023,Good
E1033,Olivia Thomas,Finance,50,0.79,41,70.09,03-02-2023,Average
E1034,Olivia Thomas,IT,11,4.89,40,94.46,04-02-2023,Excellent
E1035,Sarah Lee,Finance,17,4.31,49,96.1,05-02-2023,Excellent
E1036,Robert Brown,IT,32,4.21,45,74.29,06-02-2023,Average
E1037,Michael Johnson,Marketing,34,2.04,39,93.7,07-02-2023,Excellent
E1038,Sarah Lee,HR,28,3.03,38,88.02,08-02-2023,Good
E1039,Olivia Thomas,HR,49,2.94,37,75.89,09-02-2023,Good
E1040,James Anderson,HR,19,3.5,50,95.46,10-02-2023,Excellent
E1041,Sarah Lee,Marketing,18,2.88,42,75.88,11-02-2023,Good
E1042,James Anderson,Finance,41,1.98,45,92.01,12-02-2023,Excellent
E1043,David Wilson,IT,17,4.23,37,62.96,13-02-2023,Average
E1044,Emily Davis,Finance,31,0.88,49,63.83,14-02-2023,Average
E1045,James Anderson,Finance,21,1.52,31,74.99,15-02-2023,Average
E1046,Jane Smith,HR,36,2.55,44,94.74,16-02-2023,Excellent
E1047,Michael Johnson,Finance,43,2.76,46,94.47,17-02-2023,Excellent
E1048,Robert Brown,IT,46,2.1,41,87.04,18-02-2023,Good
E1049,James Anderson,Marketing,26,2.95,31,91.68,19-02-2023,Excellent
E1050,Jane Smith,Marketing,28,2.06,39,98.18,20-02-2023,Excellent
E1051,Sophia Martinez,IT,38,1.86,36,64.66,21-02-2023,Average
E1052,Jane Smith,IT,38,1.73,41,91.21,22-02-2023,Excellent
E1053,Michael Johnson,HR,19,0.87,32,78.67,23-02-2023,Good
E1054,Emily Davis,Finance,37,2.83,50,60.76,24-02-2023,Average
E1055,Jane Smith,Finance,39,2.03,31,71.35,25-02-2023,Average
E1056,James Anderson,Marketing,36,2.32,39,71.31,26-02-2023,Average
E1057,James Anderson,IT,18,2.56,46,87.17,27-02-2023,Good
E1058,Robert Brown,IT,13,0.76,44,85.14,28-02-2023,Good
E1059,David Wilson,HR,15,1.9,47,61.04,01-03-2023,Average
E1060,Jane Smith,Marketing,21,0.67,31,68.62,02-03-2023,Average
E1061,John Doe,IT,32,2.25,44,75.89,03-03-2023,Good
E1062,Sophia Martinez,Sales,20,0.78,50,70.75,04-03-2023,Average
E1063,Jane Smith,IT,33,1.03,48,73.67,05-03-2023,Average
E1064,John Doe,IT,15,1.56,36,93.12,06-03-2023,Excellent
E1065,Sarah Lee,IT,25,0.66,47,93.31,07-03-2023,Excellent
E1066,Jane Smith,Marketing,23,4.95,41,67.87,08-03-2023,Average
E1067,Emily Davis,Marketing,24,2.64,40,80.14,09-03-2023,Good
E1068,Robert Brown,Marketing,47,3.6,47,60.02,10-03-2023,Average
E1069,Olivia Thomas,IT,47,4.47,39,69.81,11-03-2023,Average
E1070,Olivia Thomas,Sales,32,2.23,44,81.24,12-03-2023,Good
E1071,Sophia Martinez,IT,28,3.25,46,63.82,13-03-2023,Average
E1072,Robert Brown,Marketing,44,2.99,36,87.09,14-03-2023,Good
E1073,Robert Brown,Marketing,48,3.19,41,68.98,15-03-2023,Average
E1074,Sarah Lee,IT,49,4.83,42,69.03,16-03-2023,Average
E1075,Emily Davis,IT,31,0.55,42,95.42,17-03-2023,Excellent
E1076,John Doe,IT,16,2.64,43,68.23,18-03-2023,Average
E1077,James Anderson,IT,10,1.04,50,61.44,19-03-2023,Average
E1078,Olivia Thomas,Sales,43,1.01,48,86.79,20-03-2023,Good
E1079,Sarah Lee,Finance,17,4.59,35,94.16,21-03-2023,Excellent
E1080,Jane Smith,HR,16,2,42,68.23,22-03-2023,Average
E1081,Michael Johnson,HR,38,2.55,30,72.34,23-03-2023,Average
E1082,David Wilson,Marketing,19,3.71,34,90.02,24-03-2023,Excellent
E1083,Sophia Martinez,Finance,22,1.93,31,62.16,25-03-2023,Average
E1084,Sophia Martinez,IT,30,4.45,41,98.05,26-03-2023,Excellent
E1085,Olivia Thomas,HR,28,2.33,33,74.41,27-03-2023,Average
E1086,Olivia Thomas,Sales,20,3.12,43,75.52,28-03-2023,Good
E1087,John Doe,HR,35,4.37,30,68.2,29-03-2023,Average
E1088,James Anderson,Finance,50,3.03,41,81.2,30-03-2023,Good
E1089,Sarah Lee,Finance,28,2.22,48,76.25,31-03-2023,Good
E1090,Robert Brown,Finance,34,2.6,43,72.47,01-04-2023,Average
E1091,Michael Johnson,Marketing,11,2.49,49,73.64,02-04-2023,Average
E1092,Sophia Martinez,Marketing,43,1.91,43,94.61,03-04-2023,Excellent
E1093,Jane Smith,IT,21,0.7,47,86.78,04-04-2023,Good
E1094,Olivia Thomas,IT,25,3.17,32,63.38,05-04-2023,Average
E1095,Sarah Lee,Sales,37,0.52,46,98.47,06-04-2023,Excellent
E1096,Olivia Thomas,Sales,12,2.32,45,81.84,07-04-2023,Good
E1097,Emily Davis,Marketing,45,2.32,32,91.22,08-04-2023,Excellent
E1098,Sophia Martinez,Finance,27,4.23,42,83.22,09-04-2023,Good
E1099,James Anderson,Sales,40,2.56,38,98.85,10-04-2023,Excellent
E1100,Jane Smith,Sales,26,0.51,44,81.48,11-04-2023,Good
E1101,Robert Brown,Marketing,19,2.64,32,79.31,12-04-2023,Good
E1102,Emily Davis,HR,38,0.99,33,62.76,13-04-2023,Average
E1103,John Doe,HR,40,4.22,31,94.68,14-04-2023,Excellent
E1104,David Wilson,IT,46,1.78,39,86.1,15-04-2023,Good
E1105,Michael Johnson,Finance,15,4.69,38,60.67,16-04-2023,Average
E1106,Jane Smith,Marketing,16,2.24,43,90.78,17-04-2023,Excellent
E1107,Robert Brown,IT,26,4.38,40,61.21,18-04-2023,Average
E1108,Jane Smith,IT,46,2.04,31,61.13,19-04-2023,Average
E1109,John Doe,Marketing,36,1.23,41,90.88,20-04-2023,Excellent
E1110,Sarah Lee,Sales,33,4.16,39,90.27,21-04-2023,Excellent
E1111,David Wilson,HR,46,0.94,33,70.22,22-04-2023,Average
E1112,James Anderson,Marketing,42,3.06,38,90.53,23-04-2023,Excellent
E1113,James Anderson,Sales,29,2,47,72.1,24-04-2023,Average
E1114,Olivia Thomas,Sales,47,3.22,35,72.1,25-04-2023,Average
E1115,Sophia Martinez,IT,16,1.92,44,69.81,26-04-2023,Average
E1116,Sophia Martinez,Marketing,18,3.04,49,60.35,27-04-2023,Average
E1117,John Doe,HR,23,2.34,37,87.69,28-04-2023,Good
E1118,Jane Smith,Marketing,26,3.07,35,67.82,29-04-2023,Average
E1119,Olivia Thomas,Finance,41,2.78,47,66.11,30-04-2023,Average
E1120,Sarah Lee,Finance,35,0.93,38,71.31,01-05-2023,Average
E1121,David Wilson,Finance,24,1.67,40,60.43,02-05-2023,Average
E1122,Olivia Thomas,Finance,32,3.65,35,86.31,03-05-2023,Good
E1123,Sarah Lee,IT,35,3.73,49,74.88,04-05-2023,Average
E1124,Olivia Thomas,HR,45,4.21,48,95.74,05-05-2023,Excellent
E1125,Jane Smith,HR,29,3.23,35,95.21,06-05-2023,Excellent
E1126,James Anderson,HR,19,1.81,47,88.56,07-05-2023,Good
E1127,Olivia Thomas,IT,13,1.67,36,89.17,08-05-2023,Good
E1128,Michael Johnson,IT,45,1.05,38,92.82,09-05-2023,Excellent
E1129,David Wilson,HR,47,1.56,49,81.07,10-05-2023,Good
E1130,Olivia Thomas,HR,42,1.42,35,80.52,11-05-2023,Good
E1131,Michael Johnson,Sales,39,0.83,35,61.21,12-05-2023,Average
E1132,Robert Brown,Sales,47,2.6,44,82.68,13-05-2023,Good
E1133,Emily Davis,Finance,31,3.13,38,64.84,14-05-2023,Average
E1134,Robert Brown,HR,19,4.66,46,83.21,15-05-2023,Good
E1135,Emily Davis,Marketing,49,0.58,35,61,16-05-2023,Average
E1136,David Wilson,HR,43,3.86,43,65.84,17-05-2023,Average
E1137,Olivia Thomas,Marketing,16,1.71,45,72.92,18-05-2023,Average
E1138,Sarah Lee,Marketing,30,1.78,38,80.52,19-05-2023,Good
E1139,Sarah Lee,HR,37,1.3,48,69.56,20-05-2023,Average
E1140,David Wilson,Finance,50,3.1,49,89.02,21-05-2023,Good
E1141,Michael Johnson,Finance,36,4.66,43,69.64,22-05-2023,Average
E1142,Sophia Martinez,Finance,49,1.71,35,64.03,23-05-2023,Average
E1143,Robert Brown,HR,16,3.12,49,73.32,24-05-2023,Average
E1144,Olivia Thomas,HR,27,2.09,39,89.11,25-05-2023,Good
E1145,Robert Brown,HR,26,4.07,33,67.58,26-05-2023,Average
E1146,Emily Davis,Marketing,32,2.74,30,70.59,27-05-2023,Average
E1147,Jane Smith,Finance,27,4.28,46,64.17,28-05-2023,Average
E1148,Olivia Thomas,HR,48,2.86,48,95.72,29-05-2023,Excellent
E1149,John Doe,HR,30,2.26,37,70.94,30-05-2023,Average
E1150,Emily Davis,HR,39,1.95,50,82.84,31-05-2023,Good
E1151,John Doe,Finance,35,1.69,42,93.2,01-06-2023,Excellent
E1152,Sarah Lee,Marketing,14,1.53,39,79.25,02-06-2023,Good
E1153,Sarah Lee,Sales,25,3.44,48,61.64,03-06-2023,Average
E1154,Olivia Thomas,Marketing,44,0.5,44,67.84,04-06-2023,Average
E1155,Emily Davis,Finance,32,2.01,30,62.04,05-06-2023,Average
E1156,Robert Brown,IT,26,3.5,42,94.86,06-06-2023,Excellent
E1157,Sophia Martinez,HR,15,2.12,43,94.93,07-06-2023,Excellent
E1158,Michael Johnson,Marketing,23,4.89,46,61.7,08-06-2023,Average
E1159,David Wilson,IT,34,2.69,48,98.67,09-06-2023,Excellent
E1160,Robert Brown,Sales,19,4.38,37,61.41,10-06-2023,Average
E1161,Michael Johnson,IT,41,2.18,41,68.56,11-06-2023,Average
E1162,John Doe,Finance,45,1.85,43,64.36,12-06-2023,Average
E1163,John Doe,Marketing,26,4.9,36,97.8,13-06-2023,Excellent
E1164,Michael Johnson,IT,39,3.46,50,86.25,14-06-2023,Good
E1165,Sarah Lee,Sales,39,1.64,34,83.14,15-06-2023,Good
E1166,Sarah Lee,Finance,49,2.06,41,94.11,16-06-2023,Excellent
E1167,Jane Smith,HR,16,0.87,50,93.23,17-06-2023,Excellent
E1168,Emily Davis,Marketing,19,3.68,48,77.2,18-06-2023,Good
E1169,Olivia Thomas,Sales,48,2.23,32,96.17,19-06-2023,Excellent
E1170,Emily Davis,HR,38,3.78,47,98.06,20-06-2023,Excellent
E1171,Olivia Thomas,Sales,34,3.39,43,75.3,21-06-2023,Good
E1172,Michael Johnson,HR,22,3.21,36,97.06,22-06-2023,Excellent
E1173,Michael Johnson,Marketing,16,1.21,35,82.75,23-06-2023,Good
E1174,James Anderson,Sales,18,2.2,40,69.65,24-06-2023,Average
E1175,Robert Brown,Finance,25,1.97,39,69.34,25-06-2023,Average
E1176,Olivia Thomas,Sales,49,1.53,41,91.47,26-06-2023,Excellent
E1177,Emily Davis,HR,19,3.37,38,61.56,27-06-2023,Average
E1178,David Wilson,IT,50,4.69,44,79.35,28-06-2023,Good
E1179,Sophia Martinez,Marketing,22,1.01,38,80.12,29-06-2023,Good
E1180,Robert Brown,HR,47,4.83,31,91.08,30-06-2023,Excellent
E1181,Jane Smith,IT,17,4.88,39,61.16,01-07-2023,Average
E1182,Sarah Lee,Finance,41,3.44,50,74.52,02-07-2023,Average
E1183,Robert Brown,Finance,24,3.85,33,73.71,03-07-2023,Average
E1184,James Anderson,HR,36,1.27,34,66.55,04-07-2023,Average
E1185,John Doe,Marketing,47,2.1,50,66.75,05-07-2023,Average
E1186,Emily Davis,Sales,12,1,39,74.65,06-07-2023,Average
E1187,John Doe,IT,27,3.09,36,65.74,07-07-2023,Average
E1188,Michael Johnson,Finance,24,2.07,32,83.42,08-07-2023,Good
E1189,Sarah Lee,Finance,30,1.58,45,60.63,09-07-2023,Average
E1190,Robert Brown,IT,46,2.68,37,91.65,10-07-2023,Excellent
E1191,John Doe,Sales,49,1.43,33,95.14,11-07-2023,Excellent
E1192,David Wilson,Marketing,22,2.87,43,79.57,12-07-2023,Good
E1193,Robert Brown,Finance,17,1.65,46,60.49,13-07-2023,Average
E1194,Sophia Martinez,IT,25,4.53,31,74.57,14-07-2023,Average
E1195,Emily Davis,Sales,18,0.51,30,92.57,15-07-2023,Excellent
E1196,Sarah Lee,Sales,21,4.36,38,93.64,16-07-2023,Excellent
E1197,Michael Johnson,IT,39,3.99,44,62.55,17-07-2023,Average
E1198,Robert Brown,Marketing,34,2.9,37,77.93,18-07-2023,Good
E1199,Sophia Martinez,Sales,27,3.02,44,62.68,19-07-2023,Average
E1200,James Anderson,HR,16,3.3,40,91.11,20-07-2023,Excellent
E1201,James Anderson,HR,46,1.97,36,68.99,21-07-2023,Average
E1202,Sarah Lee,Marketing,25,1.13,42,85.25,22-07-2023,Good
E1203,Sophia Martinez,Marketing,42,0.57,50,80.56,23-07-2023,Good
E1204,James Anderson,Finance,41,4.52,33,68.19,24-07-2023,Average
E1205,Jane Smith,IT,46,1.24,38,65.84,25-07-2023,Average
E1206,Jane Smith,IT,20,1.78,50,91.05,26-07-2023,Excellent
E1207,Olivia Thomas,Sales,46,3.26,31,66.55,27-07-2023,Average
E1208,Michael Johnson,HR,42,0.64,33,88.64,28-07-2023,Good
E1209,Emily Davis,Sales,14,4.52,39,71.63,29-07-2023,Average
E1210,John Doe,Finance,10,1.68,34,98.72,30-07-2023,Excellent
E1211,James Anderson,IT,27,3.23,50,88.89,31-07-2023,Good
E1212,Robert Brown,Marketing,25,3.21,32,95.91,01-08-2023,Excellent
E1213,David Wilson,Finance,23,4.61,42,70.58,02-08-2023,Average
E1214,Michael Johnson,Finance,23,4.57,34,94.78,03-08-2023,Excellent
E1215,Sarah Lee,Sales,12,0.82,35,85.68,04-08-2023,Good
E1216,James Anderson,Finance,45,3.06,41,67.19,05-08-2023,Average
E1217,Michael Johnson,IT,16,4.59,33,70.53,06-08-2023,Average
E1218,Sophia Martinez,HR,33,2.44,50,75.64,07-08-2023,Good
E1219,Jane Smith,IT,36,1.3,50,73.71,08-08-2023,Average
E1220,Sarah Lee,HR,13,2.52,36,61.22,09-08-2023,Average
E1221,Sophia Martinez,Marketing,21,2.01,39,66.02,10-08-2023,Average
E1222,Robert Brown,Finance,22,3.4,37,99.2,11-08-2023,Excellent
E1223,John Doe,Sales,50,3.75,31,76.13,12-08-2023,Good
E1224,Michael Johnson,HR,43,1.25,50,96.3,13-08-2023,Excellent
E1225,Sophia Martinez,Marketing,30,1.16,43,89.21,14-08-2023,Good
E1226,David Wilson,IT,14,1.43,32,76.39,15-08-2023,Good
E1227,David Wilson,Finance,22,3.16,30,79.91,16-08-2023,Good
E1228,John Doe,Sales,30,0.92,40,94.37,17-08-2023,Excellent
E1229,Emily Davis,Marketing,32,4.23,38,93.54,18-08-2023,Excellent
E1230,John Doe,IT,39,4.4,32,83,19-08-2023,Good
E1231,David Wilson,HR,47,4.26,34,74.35,20-08-2023,Average
E1232,John Doe,Sales,40,2.77,38,73.04,21-08-2023,Average
E1233,Jane Smith,Sales,18,4.41,30,80.87,22-08-2023,Good
E1234,Jane Smith,Sales,39,1.6,30,96.78,23-08-2023,Excellent
E1235,Robert Brown,HR,26,1.87,45,83.25,24-08-2023,Good
E1236,Olivia Thomas,Marketing,33,2.68,42,87.45,25-08-2023,Good
E1237,Michael Johnson,Sales,13,2.42,45,69.48,26-08-2023,Average
E1238,Olivia Thomas,Finance,37,1.11,38,66.2,27-08-2023,Average
E1239,Olivia Thomas,Sales,31,1.5,43,60.92,28-08-2023,Average
E1240,John Doe,IT,27,2.03,35,92.97,29-08-2023,Excellent
E1241,Robert Brown,HR,18,3.76,37,88.74,30-08-2023,Good
E1242,David Wilson,Finance,18,2.01,45,99.82,31-08-2023,Excellent
E1243,Sarah Lee,Finance,49,1.18,38,94.84,01-09-2023,Excellent
E1244,Emily Davis,IT,37,4.84,47,66.62,02-09-2023,Average
E1245,David Wilson,Marketing,28,1.03,38,86.59,03-09-2023,Good
E1246,Emily Davis,IT,23,1.55,32,99.48,04-09-2023,Excellent
E1247,Michael Johnson,HR,16,1.55,46,60.25,05-09-2023,Average
E1248,James Anderson,IT,43,0.91,49,62.82,06-09-2023,Average
E1249,Michael Johnson,Marketing,49,0.85,37,65.71,07-09-2023,Average
E1250,Michael Johnson,Sales,28,3.02,50,85.39,08-09-2023,Good
E1251,Olivia Thomas,Sales,23,1.04,45,90.66,09-09-2023,Excellent
E1252,David Wilson,Finance,44,2.73,40,80.13,10-09-2023,Good
E1253,Emily Davis,Marketing,10,2.79,45,63.72,11-09-2023,Average
E1254,John Doe,HR,42,4.3,38,82.17,12-09-2023,Good
E1255,Sarah Lee,Marketing,32,1,49,92.23,13-09-2023,Excellent
E1256,Olivia Thomas,Marketing,16,1.23,47,85.53,14-09-2023,Good
E1257,James Anderson,IT,24,0.68,43,62.27,15-09-2023,Average
E1258,Robert Brown,HR,34,1.03,34,79.62,16-09-2023,Good
E1259,Michael Johnson,HR,25,4.66,36,94.86,17-09-2023,Excellent
E1260,Olivia Thomas,Marketing,44,4.31,41,93.95,18-09-2023,Excellent
E1261,Sarah Lee,Sales,26,1.27,31,75.19,19-09-2023,Good
E1262,Jane Smith,IT,44,1.14,30,81.06,20-09-2023,Good
E1263,Olivia Thomas,Finance,25,4.46,31,78.76,21-09-2023,Good
E1264,James Anderson,HR,29,0.71,30,96.18,22-09-2023,Excellent
E1265,Sarah Lee,Finance,35,2.72,30,85.65,23-09-2023,Good
E1266,Olivia Thomas,Marketing,25,4.95,48,72.51,24-09-2023,Average
E1267,Olivia Thomas,HR,33,0.95,30,60.78,25-09-2023,Average
E1268,Sarah Lee,IT,15,4.5,34,67.75,26-09-2023,Average
E1269,Robert Brown,Sales,42,0.52,41,83.38,27-09-2023,Good
E1270,Robert Brown,HR,35,0.92,32,93.46,28-09-2023,Excellent
E1271,Emily Davis,Marketing,41,3.83,46,96.52,29-09-2023,Excellent
E1272,Robert Brown,IT,34,2.19,41,83.21,30-09-2023,Good
E1273,John Doe,HR,17,3.85,44,88.94,01-10-2023,Good
E1274,John Doe,HR,12,1.8,43,82.36,02-10-2023,Good
E1275,John Doe,Sales,32,0.93,33,72.71,03-10-2023,Average
E1276,Sarah Lee,Marketing,13,1.33,41,99.48,04-10-2023,Excellent
E1277,Sarah Lee,Marketing,47,3.78,39,63.81,05-10-2023,Average
E1278,Sarah Lee,HR,25,3.96,30,69.47,06-10-2023,Average
E1279,Emily Davis,HR,22,1,38,71.9,07-10-2023,Average
E1280,Jane Smith,Finance,49,2.57,35,91.4,08-10-2023,Excellent
E1281,James Anderson,HR,13,1.47,45,80.88,09-10-2023,Good
E1282,Sophia Martinez,Marketing,15,0.64,33,67.46,10-10-2023,Average
E1283,Jane Smith,Finance,24,3.49,46,86.4,11-10-2023,Good
